text_en,text_sbert
"I parked my car in KSR Bengaluru Railway station. The parking coupon does not mention parking charges and there is no display board anywhere to tell what are the applicable charges.

The guy standing at exit charges randomly based on time, special day etc. When I asked him to give proper receipt with charges printed, he wrote it on pen and give it back to me.

I need a clear board which display applicable parking charges and receipt must include payment made","i parked my car in ksr bengaluru railway station. the parking coupon does not mention parking charges and there is no display board anywhere to tell what are the applicable charges. the guy standing at exit charges randomly based on time, special day etc. when i asked him to give proper receipt with charges printed, he wrote it on pen and give it back to me. i need a clear board which display applicable parking charges and receipt must include payment made"
"This is regarding garbage vehicle person changing money, if money is not provided he is using abusing words to everyone in the locality and he is charging 2000 ruppes per each house.

he is abusing everyone with bad words. kindly resolve this issue. please change the vehicle person other wise this complaint leads to further consequences.","this is regarding garbage vehicle person changing money, if money is not provided he is using abusing words to everyone in the locality and he is charging 2000 ruppes per each house. he is abusing everyone with bad words. kindly resolve this issue. please change the vehicle person other wise this complaint leads to further consequences."
"Worst road surrounding in Ramamurthy Nagara, NRI Layout, 9th main.. PLEASE HELP","worst road surrounding in ramamurthy nagara, nri layout, 9th main.. please help"
"There are several vehicles like cars and tempos which are parked on 3rd main jakksandra road limiting the movement of vehicles resulting in severe jam everyday, instead of fixing this issue the locals have put up barricades which has added to the already existing problem. The road also is a garbage dumping area and is filled with potholes. The area MLA is not doing the corrections. Please help.","there are several vehicles like cars and tempos which are parked on 3rd main jakksandra road limiting the movement of vehicles resulting in severe jam everyday, instead of fixing this issue the locals have put up barricades which has added to the already existing problem. the road also is a garbage dumping area and is filled with potholes. the area mla is not doing the corrections. please help."
"Dear Sir/Madam,
There is no regular water supply in our building. We have order water tanker every 3-4 days.

Kindly fix this problem.

thanks,
-Rakesh","dear sir/madam, there is no regular water supply in our building. we have order water tanker every 3-4 days. kindly fix this problem. thanks, -rakesh"
There is this BBMP build public toilet right behind our house (in a conservancy lane). Often the toilet is closed and hence people use the spot adjacent to defecate openly. At times the toilet itself is open but not maintained. This causes stench to reach our house and it is unbearable at times and people visiting us are greeted to this foul smell.,there is this bbmp build public toilet right behind our house (in a conservancy lane). often the toilet is closed and hence people use the spot adjacent to defecate openly. at times the toilet itself is open but not maintained. this causes stench to reach our house and it is unbearable at times and people visiting us are greeted to this foul smell.
Hello this is the most frustrating thing to do every time coz i keep complaining almost every month or week but nothing changes the bbmp personal in my area who is least bothered to clean the street. And to add it we have to pay personally to get it cleaned also pay tax for what??? When will bbmp wake up in this area coz the lady and the bbmp personal responsible are worst dont even bother why should they get free salary out of my tax money. When will bbmp change the people responsible for this area,hello this is the most frustrating thing to do every time coz i keep complaining almost every month or week but nothing changes the bbmp personal in my area who is least bothered to clean the street. and to add it we have to pay personally to get it cleaned also pay tax for what??? when will bbmp wake up in this area coz the lady and the bbmp personal responsible are worst dont even bother why should they get free salary out of my tax money. when will bbmp change the people responsible for this area
Garbage dumped by slum people in chikkabegur lake. Please make some provision to collect waste from the slums,garbage dumped by slum people in chikkabegur lake. please make some provision to collect waste from the slums
"Dear Sir,

The Vehicles come at very high speed entering samrudhi layout from vittalnagar side and met with a accident with the kid playing there
Lots of kids walk on the road side and since it is a blind spot drivers entering samrudhi layout at high speed can't stop so a speed breaker would help badly needed as soon as you enter samrudhi layout to slow them down

Please contact me at 9845408446","dear sir, the vehicles come at very high speed entering samrudhi layout from vittalnagar side and met with a accident with the kid playing there lots of kids walk on the road side and since it is a blind spot drivers entering samrudhi layout at high speed can't stop so a speed breaker would help badly needed as soon as you enter samrudhi layout to slow them down please contact me at 9845408446"
"We live near shettihalli railway gate. The road which leads to the underpass is not complete and broken. 

Railway was blamed from 10 years saying they are not making the underpass due to which BBMP and BWSSB cannot work.

Now that railways has done there work still we dont have a single lane basic road.

Everyday women, children and elderly people fall on this road due to rains and pot holes.

Its hard to believe that this is part main bangalore. 

The area is called gatepalya shettihalli jalahalli west.","we live near shettihalli railway gate. the road which leads to the underpass is not complete and broken. railway was blamed from 10 years saying they are not making the underpass due to which bbmp and bwssb cannot work. now that railways has done there work still we dont have a single lane basic road. everyday women, children and elderly people fall on this road due to rains and pot holes. its hard to believe that this is part main bangalore. the area is called gatepalya shettihalli jalahalli west."
Begur Road - 100s of dangerous potholes.. Full road is encroached with illegal shops.. road digging for work never gets properly closed.. pathetic to live in these areas,begur road - 100s of dangerous potholes.. full road is encroached with illegal shops.. road digging for work never gets properly closed.. pathetic to live in these areas
The painters are working at heights without safety lifeline in 11 hamd villa moyenville road Langford Town Bangalore 560025,the painters are working at heights without safety lifeline in 11 hamd villa moyenville road langford town bangalore 560025
"The roads are being dug by BBMP, BWSSB & GAIL for last 2 years. The road has not been laid so far. This is now causing dust and micro particles in the area..
Now there is health hazard of lung infection, eye irritation and allergy for residents and commuters. Please fix this before it gets worst","the roads are being dug by bbmp, bwssb & gail for last 2 years. the road has not been laid so far. this is now causing dust and micro particles in the area.. now there is health hazard of lung infection, eye irritation and allergy for residents and commuters. please fix this before it gets worst"
"No street lights on Hebbal fly over.

very dangerous at night",no street lights on hebbal fly over. very dangerous at night
"Street lights on 9th Main Road are not lit, 2 Lights are not working. People are prone to accidents due to lack of visibility, Please fix all street lights immediately. We had called BBMP concerned official several times, but I have  not received any respond from them. docket no. 10489.","street lights on 9th main road are not lit, 2 lights are not working. people are prone to accidents due to lack of visibility, please fix all street lights immediately. we had called bbmp concerned official several times, but i have not received any respond from them. docket no. 10489."
"There are quite a lot of old, unused telephone line poles with lot of cables hanging on them. This is hazardous for those driving on the road and also are hindrances for road traffic. location - bank Avenue colony 7th Street babusapalya. Requesting you to kindly remove these unused poles.","there are quite a lot of old, unused telephone line poles with lot of cables hanging on them. this is hazardous for those driving on the road and also are hindrances for road traffic. location - bank avenue colony 7th street babusapalya. requesting you to kindly remove these unused poles."
"He garbage Collection vehicle does not come in our locality, even if they come once or twice in a week, they do not have any time. What should working people do? Leave their jobs and sit at home to wait for them? Or start throwing the garbage on roads? We pay taxes to get the basic service from government, not to suffer. Can you please get it resolved and ensure they come to collect the garbage on alternative days, if not regularly? It has made our lives hell. This is for 2nd cross, b sector, Ramaiahreddy Colony Basavanagar.","he garbage collection vehicle does not come in our locality, even if they come once or twice in a week, they do not have any time. what should working people do? leave their jobs and sit at home to wait for them? or start throwing the garbage on roads? we pay taxes to get the basic service from government, not to suffer. can you please get it resolved and ensure they come to collect the garbage on alternative days, if not regularly? it has made our lives hell. this is for 2nd cross, b sector, ramaiahreddy colony basavanagar."
The garbage has not been collected since more than 4 days. Dirt pilling up in our homes,the garbage has not been collected since more than 4 days. dirt pilling up in our homes
"Commercial activities doing in residential area
scrap waste dumping besides the houses",commercial activities doing in residential area scrap waste dumping besides the houses
The garbage collection van comes everyday for wet waste but never on dry waste days (Wednesday and Saturday),the garbage collection van comes everyday for wet waste but never on dry waste days (wednesday and saturday)
"Please fix the 7th Cross road of Green Domain Layout, EPIP, Phase 2, Brookefield. It is having jelly stones for almost a month now. It needs to be asphalted and tarred.","please fix the 7th cross road of green domain layout, epip, phase 2, brookefield. it is having jelly stones for almost a month now. it needs to be asphalted and tarred."
The roads were dug up for the sake of laying drainage lines however post work the roads were not covered back with sufficient amount of mud hence the roads started caving in slowly due to consistent rains and now the roads have caved up so much that even heavy vehicles are getting stuck on the roads. More than 10 cars were caught in this pothole and took more than a day or a tractor to get them out. This is causing huge inconvenience as we aren't able to get the vehicle out of home as well.,the roads were dug up for the sake of laying drainage lines however post work the roads were not covered back with sufficient amount of mud hence the roads started caving in slowly due to consistent rains and now the roads have caved up so much that even heavy vehicles are getting stuck on the roads. more than 10 cars were caught in this pothole and took more than a day or a tractor to get them out. this is causing huge inconvenience as we aren't able to get the vehicle out of home as well.
"Hi - From Mayuri Hotel till Raghavendra Swamy Mutt signal, various commercial establishments including banks let their customers park their 2 wheelers on the newly developed footpath. Police incharge don't say or do anything to solve this.

Was the footpath developed for 2 wheeler parking or commuters to use it for walking?

Please stop 2 wheelers from parking on the footpath on this entire stretch (almost 1 on stretch).

I've added only 1 photo. If more photos are needed, please let me know.

Thanks in advance.","hi - from mayuri hotel till raghavendra swamy mutt signal, various commercial establishments including banks let their customers park their 2 wheelers on the newly developed footpath. police incharge don't say or do anything to solve this. was the footpath developed for 2 wheeler parking or commuters to use it for walking? please stop 2 wheelers from parking on the footpath on this entire stretch (almost 1 on stretch). i've added only 1 photo. if more photos are needed, please let me know. thanks in advance."
"Entire 60 feet road in AECS Layout, Kundalahalli is in very very bad shape. There are no footpaths on road, in fact there is no road for that matter. This road can be made so amazing, there are very good stores on that road, and it can be made like a beautiful walkway shopping type street.","entire 60 feet road in aecs layout, kundalahalli is in very very bad shape. there are no footpaths on road, in fact there is no road for that matter. this road can be made so amazing, there are very good stores on that road, and it can be made like a beautiful walkway shopping type street."
"Road humps are constructed in an unscientific way.  Even when traveling slowly, the vehicle cannot go smoothly over the hump. Both sides of the hump are broken and so it is very uncomfortable to drive on.  My friends have complained of back pain caused by driving on this hump.  Requesting that it be removed for the safety of drivers","road humps are constructed in an unscientific way. even when traveling slowly, the vehicle cannot go smoothly over the hump. both sides of the hump are broken and so it is very uncomfortable to drive on. my friends have complained of back pain caused by driving on this hump. requesting that it be removed for the safety of drivers"
The said car has been parking since a month in the said place blocking incoming traffic. It is close to transformer as well. The BESCOM people couldn’t carry out there maintenance work due to this car. Multiple complaints to the owner fell on deaf ears. Please take suitable action.,the said car has been parking since a month in the said place blocking incoming traffic. it is close to transformer as well. the bescom people couldn t carry out there maintenance work due to this car. multiple complaints to the owner fell on deaf ears. please take suitable action.
"There is no road existing here, it is causing accidents on a daily basis due to bad roads. No action has been taken despite raising complaints.","there is no road existing here, it is causing accidents on a daily basis due to bad roads. no action has been taken despite raising complaints."
Our in front road is laid 8 -9 days back. but still it got closed. it's a hot summer without a water in our house. we need to rely on the water tanker. haven't had a proper bath from many days. we are going to nearby malls for restroom. please help us.,our in front road is laid 8 -9 days back. but still it got closed. it's a hot summer without a water in our house. we need to rely on the water tanker. haven't had a proper bath from many days. we are going to nearby malls for restroom. please help us.
"This pile of garbage is right in front of Dr. B R Ambedkar Medical College in R T Nagar besides a footpath, causing a lot of inconvenience for the people around.","this pile of garbage is right in front of dr. b r ambedkar medical college in r t nagar besides a footpath, causing a lot of inconvenience for the people around."
Road dug up by KC Valley project not asphalted yet even after 1 year resulting dust pollution and health issues.,road dug up by kc valley project not asphalted yet even after 1 year resulting dust pollution and health issues.
"Stray dogs are attacking my car almost everyday, it's becoming pain to control these dogs. My sincere request to help me with this issue. These dogs toar car cover and removed my car bumper.. got it fixed but again they are doing same.","stray dogs are attacking my car almost everyday, it's becoming pain to control these dogs. my sincere request to help me with this issue. these dogs toar car cover and removed my car bumper.. got it fixed but again they are doing same."
The road that connects BDA layout with old airport road.,the road that connects bda layout with old airport road.
"BWSSB work was happening on the ""old airport wall road"" after which no one has bothered to lay the road. It has been dug and left for the last 5 months now with no sign/info on when the road will be laid. 
Wall road is the main access road for all Murugeshpalya residents and we have now lived without an access road for 5 months
How much more time does BWSSP/BBMP need to fix the road?","bwssb work was happening on the ""old airport wall road"" after which no one has bothered to lay the road. it has been dug and left for the last 5 months now with no sign/info on when the road will be laid. wall road is the main access road for all murugeshpalya residents and we have now lived without an access road for 5 months how much more time does bwssp/bbmp need to fix the road?"
Openings created for rain water entry to water harvest pits inside SWDs not covered with safety /debris grills making them hazardous for public and animals,openings created for rain water entry to water harvest pits inside swds not covered with safety /debris grills making them hazardous for public and animals
Sevage water is over flowing and entire road is stinking. Sevage water is flowing back to many house toilet. Upon multiple complaints there is no action from any department. Please need your help.,sevage water is over flowing and entire road is stinking. sevage water is flowing back to many house toilet. upon multiple complaints there is no action from any department. please need your help.
"Unknown person parked unknown vehicle very my compound wall since last year and pasted paper to remove the car from here, but no one attended so far. We are really scared about this vehicle what it contains!, also it's obstructing vehicle movement and we are not able to park scooters, cycle inside because door is not opening and we are not able to park other vehicles. Hence please get this vehicle removed from here. Thank you.
Regards
Julie Prasad
81050 67886","unknown person parked unknown vehicle very my compound wall since last year and pasted paper to remove the car from here, but no one attended so far. we are really scared about this vehicle what it contains!, also it's obstructing vehicle movement and we are not able to park scooters, cycle inside because door is not opening and we are not able to park other vehicles. hence please get this vehicle removed from here. thank you. regards julie prasad 81050 67886"
The builder is dumping garbage inside the premises illegally as it was not thier in plan. This is threat to some 500 families staying here .,the builder is dumping garbage inside the premises illegally as it was not thier in plan. this is threat to some 500 families staying here .
"Please help!
After several complaints, BBMP workers clearing the garbage, this garbage pile issue has not resolved. I request for a permanent solution. I wish I could send a sample of the disgusting smell . It’s become impossible to live here. Please take action with the plot owner","please help! after several complaints, bbmp workers clearing the garbage, this garbage pile issue has not resolved. i request for a permanent solution. i wish i could send a sample of the disgusting smell . it s become impossible to live here. please take action with the plot owner"
More than 6 Stray dogs are attacking and blocking our gates and footpaths residents are unable to walk,more than 6 stray dogs are attacking and blocking our gates and footpaths residents are unable to walk
"Hi Sir,

This layout roads are completely digged for kaveri water connection but after fixing underground pipes they closed but didn't put tarr road. Now more than 6 months passed but till the date the roads didn't get tarr.","hi sir, this layout roads are completely digged for kaveri water connection but after fixing underground pipes they closed but didn't put tarr road. now more than 6 months passed but till the date the roads didn't get tarr."
Pot holes in wind tunnel road causing traffic jam and danger to passengers,pot holes in wind tunnel road causing traffic jam and danger to passengers
"ShreeRaj enclave site no. 4 has become a dumping ground for residents of the road. Though there is a garbage pickup vehicle coming on a daily basis, but people are dumping garbage here.
Request you to plz take necessary action to cleanup and avoid further dumping of the garbage from becoming breading ground for Malaria insects.","shreeraj enclave site no. 4 has become a dumping ground for residents of the road. though there is a garbage pickup vehicle coming on a daily basis, but people are dumping garbage here. request you to plz take necessary action to cleanup and avoid further dumping of the garbage from becoming breading ground for malaria insects."
"There are around 8-10 dogs always on the road and during nighttime, they crowd and scare people. And they keep barking in the middle of the night.","there are around 8-10 dogs always on the road and during nighttime, they crowd and scare people. and they keep barking in the middle of the night."
The street light isn't working for a couple of weeks now and needs to be fixed.,the street light isn't working for a couple of weeks now and needs to be fixed.
There are bout 15 to 20 stray dogs attacking 2 wheelers and kids playing in street. They fight themselves so bad that they killed 1 dog by biting. This could happen to the kids as well playing on the street. Please take necessary actions,there are bout 15 to 20 stray dogs attacking 2 wheelers and kids playing in street. they fight themselves so bad that they killed 1 dog by biting. this could happen to the kids as well playing on the street. please take necessary actions
"This is the state of the one of the busiest road in BTM 2nd stage, 29th main road. please repair ASAP. 
this is opposite to Flutterbows design studio. opposite to house number 12. 
please fix it ASAP","this is the state of the one of the busiest road in btm 2nd stage, 29th main road. please repair asap. this is opposite to flutterbows design studio. opposite to house number 12. please fix it asap"
"Of-late garbage is being dumped daily on this site. 
The plot is being used for open urination/defecation also. 
In night the garbage dump is set on Fire casing smog.",of-late garbage is being dumped daily on this site. the plot is being used for open urination/defecation also. in night the garbage dump is set on fire casing smog.
Can the concerned authorities place a barricade near Bescom office near HAL main gate? Lot of bikers takes the platform to avoid traffic at HAL signal.,can the concerned authorities place a barricade near bescom office near hal main gate? lot of bikers takes the platform to avoid traffic at hal signal.
Road condition is so pathetic ??. One wayVehicles have to wait till the other vehicles empty the road. Pedstrains cannot even walk on these roads,road condition is so pathetic ??. one wayvehicles have to wait till the other vehicles empty the road. pedstrains cannot even walk on these roads
"Everyday it is a great in the quarterz due to dogs.It also bites shoes and slippers. Barks on known people,Kids cannot come outside .They have to be shifted and really annoying.We are unable to maintain hygiene..Please help.Thank you
address 13th main 1st cross btm 1st stage madivala bangalore 560068","everyday it is a great in the quarterz due to dogs.it also bites shoes and slippers. barks on known people,kids cannot come outside .they have to be shifted and really annoying.we are unable to maintain hygiene..please help.thank you address 13th main 1st cross btm 1st stage madivala bangalore 560068"
"Only half road is available for driving - Road towards RMZ Eco world
Road dug up and not patched. Vehicles get parked in half of the road.
Please do patch/new road immediataely",only half road is available for driving - road towards rmz eco world road dug up and not patched. vehicles get parked in half of the road. please do patch/new road immediataely
Borewell waterpipe is damaged and due to which fresh useable water is getting wasted on road and that water is passing through sewage. Nobody has taken action till date after raising several complaints to respective corporator. It is not been rectified and solved since long time and nearby residential people are really upset.,borewell waterpipe is damaged and due to which fresh useable water is getting wasted on road and that water is passing through sewage. nobody has taken action till date after raising several complaints to respective corporator. it is not been rectified and solved since long time and nearby residential people are really upset.
Sudden power cut at 2 AM. Is this a torture?,sudden power cut at 2 am. is this a torture?
There are sparks continuously coming out from this electric pole at popular hospital,there are sparks continuously coming out from this electric pole at popular hospital
The garbage is being dumped in the vacant land in front of my home by a few neighbours. The bbmp van comes every morning and yet few ppl don't put the waste to them. The yard is becoming Very smelly and misquotes have started to fly. Please take action and find the PPL who dump garbage irresponsiblly.,the garbage is being dumped in the vacant land in front of my home by a few neighbours. the bbmp van comes every morning and yet few ppl don't put the waste to them. the yard is becoming very smelly and misquotes have started to fly. please take action and find the ppl who dump garbage irresponsiblly.
"We have submitted application for tree in dangerous condition,  no one has attended still. 
It's been 2 months. Written complaint has been given to BBMP tree officer, no one has attended still. Attached is the application. 
They have closed in bbmp sahya app without solving","we have submitted application for tree in dangerous condition, no one has attended still. it's been 2 months. written complaint has been given to bbmp tree officer, no one has attended still. attached is the application. they have closed in bbmp sahya app without solving"
Garbage being dumped next to residence on the empty site,garbage being dumped next to residence on the empty site
"There is no storm water drain at site 42, 7th Street in bank avenue colony. kindly address this","there is no storm water drain at site 42, 7th street in bank avenue colony. kindly address this"
The TendureSure project started a long time ago on Siddaiah Puranik road but there is no work happening now and no signs of completing the unfinished work. The road is in a very bad shape and no one has taken any accountability on this project. When is this work going to be complete ?,the tenduresure project started a long time ago on siddaiah puranik road but there is no work happening now and no signs of completing the unfinished work. the road is in a very bad shape and no one has taken any accountability on this project. when is this work going to be complete ?
"Hi team, 

I stay at  kpc layout, Kasavanahalli main road exact location was marked above.

Its been couple of months they have started with underground drainage work and need to complete the road work. But it was stopped in the middle. 

Local govt. authorities also visited but even after no change.

We waited enough but daily i can see atleast 5-10 bikers are falling down because of slippery and muddy road.

So after researching i got your site to raise voice.
Kindly do needful to get this sorted.","hi team, i stay at kpc layout, kasavanahalli main road exact location was marked above. its been couple of months they have started with underground drainage work and need to complete the road work. but it was stopped in the middle. local govt. authorities also visited but even after no change. we waited enough but daily i can see atleast 5-10 bikers are falling down because of slippery and muddy road. so after researching i got your site to raise voice. kindly do needful to get this sorted."
"It’s been 24 hours since our building lost power.
I call Bescom
They don’t do anything
Finally I get a call back and I get a number of a guy called Vasant
And he gives me a number to call so those ppl can come to our building and take care of things
And when I call that number
They casually disconnect the call laughing
Plz help me how I can file a complaint against these people.",it s been 24 hours since our building lost power. i call bescom they don t do anything finally i get a call back and i get a number of a guy called vasant and he gives me a number to call so those ppl can come to our building and take care of things and when i call that number they casually disconnect the call laughing plz help me how i can file a complaint against these people.
"New Thippasandra Market footpath has been encroached by shopkeepers, vegetable and fruit vendors This has created nuisance and health hazard for the elderly and kids, since most of the time they need to walk in the road Please take necessary action to remove the encroachment.","new thippasandra market footpath has been encroached by shopkeepers, vegetable and fruit vendors this has created nuisance and health hazard for the elderly and kids, since most of the time they need to walk in the road please take necessary action to remove the encroachment."
"3rd Main Road, Palace Guttahalli has become nightmare for pedestrians and public. Cable Wires are lying on road from almost more than a month. Every 10 mtrs there is pothole, road digging don't for water supply work and post that it is not covered up properly. Kindly address this issue on priority and get it resolved at earliest","3rd main road, palace guttahalli has become nightmare for pedestrians and public. cable wires are lying on road from almost more than a month. every 10 mtrs there is pothole, road digging don't for water supply work and post that it is not covered up properly. kindly address this issue on priority and get it resolved at earliest"
Garbage dump on Chunchunkatta Main Road near Kiran Medical. This garbage dump is hazardous to stray cows. Please remove this garbage.,garbage dump on chunchunkatta main road near kiran medical. this garbage dump is hazardous to stray cows. please remove this garbage.
Totally dumped to the road nobody can take the vehicle out if asked to the owner he is telling me to complain to the authority,totally dumped to the road nobody can take the vehicle out if asked to the owner he is telling me to complain to the authority
In my area..road is not at all there..driveway is in pathetic situation..please construct the road,in my area..road is not at all there..driveway is in pathetic situation..please construct the road
This is how the road in front of my house looks and it's been like this for close to a month and this is after bwssb dug up the road. Can someone help in making this road motorable,this is how the road in front of my house looks and it's been like this for close to a month and this is after bwssb dug up the road. can someone help in making this road motorable
"Sewage is leaking for the past 1 month from the house belonging to Mr. Jai Shanker 21st Main, 8th Cross, (3rd house on the left) Egipura, Viveknagar P.O. Bangalore. 

There are worms, fly and sting emitting from the Sewage. Repeated calls to the owner has gone to deaf ears. Children and elderly people at home are getting sick. 
I request the concerned authorities to do the needful.","sewage is leaking for the past 1 month from the house belonging to mr. jai shanker 21st main, 8th cross, (3rd house on the left) egipura, viveknagar p.o. bangalore. there are worms, fly and sting emitting from the sewage. repeated calls to the owner has gone to deaf ears. children and elderly people at home are getting sick. i request the concerned authorities to do the needful."
"Hi,
Yesterday garbage has been plucked from the vacant site and throwed on the existing wall/cars as enclosed.I request to please clear the garbage from as rats can enter from the thrown garbage to the cars.
Regards,
Sudheer","hi, yesterday garbage has been plucked from the vacant site and throwed on the existing wall/cars as enclosed.i request to please clear the garbage from as rats can enter from the thrown garbage to the cars. regards, sudheer"
There is no street light or not working in goshala road (behind Accenture L shape. After Udupi hotel. Do help,there is no street light or not working in goshala road (behind accenture l shape. after udupi hotel. do help
There are have multiple accidents due to bad condition of road and lack of speed breakers on the silver county road,there are have multiple accidents due to bad condition of road and lack of speed breakers on the silver county road
"13th main road, M.C.Layout, Vijayanagar 
The condition of this road is very bad, there’s a large pit hole just in front of my house and the road has not been tarred from such a long time.. please do the needful at the earliest","13th main road, m.c.layout, vijayanagar the condition of this road is very bad, there s a large pit hole just in front of my house and the road has not been tarred from such a long time.. please do the needful at the earliest"
Drainage expansion works started more than 45 days ago. The work is progressing very slowly. We are unable to use our vehicles & are forced to spend on public transportation like autos and cabs.,drainage expansion works started more than 45 days ago. the work is progressing very slowly. we are unable to use our vehicles & are forced to spend on public transportation like autos and cabs.
Construction work is going on since last many years by bbmp and all road are dug and blocked. there is only one narrow road which is also dug on sides is the only option to get into the main road. the entire area was dug due to laying out sewage lines but roads are in real bad condition and prone to accident. some part of area is totally kachcha. People can bear this trouble for a short time and this has been going on for years now,construction work is going on since last many years by bbmp and all road are dug and blocked. there is only one narrow road which is also dug on sides is the only option to get into the main road. the entire area was dug due to laying out sewage lines but roads are in real bad condition and prone to accident. some part of area is totally kachcha. people can bear this trouble for a short time and this has been going on for years now
"There are lots of stray dogs in this area, very scary at night.... Since they jump on all Posible bikes and cars","there are lots of stray dogs in this area, very scary at night.... since they jump on all posible bikes and cars"
Sewage line opposite to our apartment is started overflowing and need cleaning,sewage line opposite to our apartment is started overflowing and need cleaning
The whole 14th cross road is filled with several overflowing garbage dumpsters with trash all over the road. It also has several potholes on the road with no view to what is underneath the potholes posing a threat to the people walking on the road.,the whole 14th cross road is filled with several overflowing garbage dumpsters with trash all over the road. it also has several potholes on the road with no view to what is underneath the potholes posing a threat to the people walking on the road.
"There has been a commercial complex construction going on for a few months nearby . They are always making lot of noise either hammering or welding . Recently they started pouring concrete by bringing in the stetters , they start their work as early as 5 in the morning. This being a resedential neighbourhood , how can people sleep if they start making such loud noises ? I urge the authorities to look into the issue.","there has been a commercial complex construction going on for a few months nearby . they are always making lot of noise either hammering or welding . recently they started pouring concrete by bringing in the stetters , they start their work as early as 5 in the morning. this being a resedential neighbourhood , how can people sleep if they start making such loud noises ? i urge the authorities to look into the issue."
"The raods are in very bad condition in entire kalkere/horamovu/ramamurthy nagar area. This is the condition since more than a year, and there is no repair work. Roads are dug and left in worse condition making commute very difficult within the area.","the raods are in very bad condition in entire kalkere/horamovu/ramamurthy nagar area. this is the condition since more than a year, and there is no repair work. roads are dug and left in worse condition making commute very difficult within the area."
2 concrete pipelines to be removed and road requires repaired after installation of new pipeline...,2 concrete pipelines to be removed and road requires repaired after installation of new pipeline...
